id;esp_id;label;median(8,13);rms(98,102);median(98,102);peak1x;peak2x;a;b
0;7;Normal;0.00217;0.07393477801413892;0.000745;0.04894;0.0104;-0.0002529389979972854;-6.485688869308957
1;0;Normal;0.00029;0.2664356533949614;0.002295;0.1595;0.02152;-0.0005463389799923974;-7.6302091646600045
2;4;Normal;0.042025;0.17198086230740908;0.004265;0.11314;0.02472;-0.003483114980768618;-2.29397221986635
3;5;Normal;0.000915;0.0609108914727079;0.00031;0.03801;0.00534;-0.0009603218358439317;-6.725640459540703
4;7;Normal;0.001235;0.10568503489141687;0.00132;0.06891;0.00479;-0.0004968863364397515;-6.407991420747306
5;4;Normal;0.0011450000000000002;0.14629772964745555;0.00171;0.09863;0.02243;-0.0012813625747083088;-6.1537853712178645
6;4;Unbalance;0.02633;0.31264145854316894;0.005425;0.20942;0.0141;-0.0034370022691299776;-2.7564701826671785
7;5;Normal;0.001225;0.26698633635450336;0.0015;0.15706;0.00253;-0.000615354885759848;-6.499130785507605
8;1;Normal;0.00089;0.20784040271323576;0.00156;0.12862;0.00088;-0.0005130732373276503;-6.357249844666219
9;0;Normal;0.00027;0.13977706857707384;0.001415;0.08378;0.00543;-0.00013854210997105973;-7.851387592632361
10;1;Normal;0.003265;0.1955646529923033;0.003045;0.12467;0.00182;-0.0016052307113170576;-5.197187930307049
11;8;Normal;0.00169;0.13455391484457077;0.00159;0.07997;0.00581;0.0004275083082525212;-6.517451015992753
12;5;Normal;0.00096;0.06330712598120372;0.000755;0.03936;0.00108;-0.0004660340610660616;-6.733618669951732
13;5;Normal;0.00046;0.10925758280320866;0.000585;0.06315;0.00069;-0.00022343552728082522;-7.478136560396963
14;4;Normal;0.00103;0.08714823979863277;0.001905;0.05709;0.0166;-0.00033163307647052155;-6.728470684621387
15;8;Faulty sensor;0.007625;0.0058631817300847855;0.00016;0.00334;0.00083;-0.0032433222669807533;-4.088459483874059
16;0;Unbalance;0.0005;0.40629254977171314;0.00275;0.23448;0.01694;9.96380628275626e-05;-7.422509605853479
17;8;Faulty sensor;0.00776;0.005805772989017053;0.00016;0.00346;0.00087;-0.0033061019245251865;-4.0392748576059
18;1;Normal;0.00027;0.10310157224795362;0.001235;0.05899;0.00682;2.992768703281117e-05;-7.648507536445584
19;10;Rubbing;0.00353;0.0751976794854735;0.00192;0.00227;0.0004;-0.0013035065772474615;-5.136763151503887
20;8;Faulty sensor;0.005355;0.009240800831096838;0.00018;0.00503;0.00078;-0.0031637048294526566;-4.400734651389503
21;2;Rubbing;0.01183;0.14570348760410645;0.00118;0.08752;0.0026;-0.001958862000405585;-3.9230611732251983
22;3;Normal;0.00123;0.1765552151594509;0.00114;0.11539;0.0196;-0.0003691633939751369;-6.523914598335807
23;10;Normal;0.002595;0.08081525103592763;0.0012799999999999999;0.00167;0.00057;-0.000559054633421337;-5.87228646515649
24;8;Normal;0.001465;0.1384093378352776;0.00177;0.08466;0.00403;0.0004673224059115706;-6.726778872076482
25;7;Normal;0.00089;0.1962066798047406;0.00239;0.11736;0.01693;0.0010297311136210764;-7.159558416084949
26;2;Rubbing;0.011470000000000001;0.09662799853044665;0.001425;0.06031;0.00714;-0.0018070999584579874;-3.894941003138357
27;1;Unbalance;0.00124;0.26667717018897585;0.00311;0.17806;0.005;0.00019700296454532915;-6.4147889911021085
28;5;Unbalance;0.00061;0.2555535043782417;0.001245;0.16961;0.00194;-0.0008666853392522716;-6.946580986716352
29;8;Normal;0.001635;0.0917589576008795;0.001815;0.04221;0.00133;0.0006554360406653829;-6.461078196341473
30;3;Normal;0.00125;0.156130891241932;0.00092;0.09282;0.01659;-0.0006747111600839574;-6.477788057164255
31;8;Faulty sensor;0.005940000000000001;0.003424806563880652;0.00014;0.00195;0.00035;-0.003167853795665549;-4.352576709042321
32;2;Normal;0.000965;0.05757453343276001;0.00046;0.03322;0.00591;-0.0003981274675816725;-6.643170469657026
33;1;Normal;0.00029;0.1365917914810403;0.000995;0.07997;0.00157;6.906134719505235e-05;-7.29779717205292
34;6;Unbalance;0.00186;0.3534092238468034;0.004370000000000001;0.20149;0.00744;0.0004695724974419784;-6.085836610273537
35;1;Normal;0.00072;0.07847426138550143;0.001225;0.05124;0.0072;-0.0007363778946270585;-6.806419413919971
36;2;Normal;0.000985;0.0804613540775943;0.0012000000000000001;0.05036;0.00442;-0.0006168008956825324;-6.725281808646289
37;0;Normal;0.0002;0.1738205134614439;0.001425;0.1002;0.00962;-0.00026985211140502497;-7.785303600767088
38;1;Normal;0.00067;0.11274107680876565;0.00091;0.0722;0.00572;-0.0015188575434770275;-6.751675619977329
39;10;Normal;0.00126;0.1414508716834223;0.00099;0.00085;0.00087;0.00038429522592623106;-6.512780658128458
40;9;Unbalance;0.0019950000000000002;0.21666699748692694;0.00174;0.12467;0.01273;-0.0006369220642095661;-5.884167258212534
41;0;Normal;0.00034;0.18343026113485197;0.001325;0.11606;0.00383;0.0006783708849687881;-7.9813473252105345
42;4;Normal;0.00125;0.10662133041751075;0.001505;0.06115;0.02695;-0.0014355922463172867;-6.064732329716403
43;4;Unbalance;0.00216;0.3138665149390741;0.003915;0.19678;0.01387;-0.0011041066816115902;-6.292199910981535
44;1;Normal;0.00089;0.22832235764374892;0.00139;0.15217;0.00314;-0.0008663263801204397;-6.568746676656526
45;0;Normal;0.00038;0.09732224308964522;0.000665;0.06561;0.00593;-8.289007289495089e-05;-7.623570166979184
46;1;Normal;0.000925;0.09390206706990001;0.001025;0.05863;0.00734;-0.00031633283093594267;-6.815001310465194
47;7;Normal;0.00136;0.1295827912957581;0.0024;0.07899;0.01538;-0.00020696921158349483;-6.895576790344521
48;5;Normal;0.000445;0.031732852062176825;0.00012;0.01812;0.00273;-0.001607582259017882;-7.3127517448243555
49;1;Normal;0.000975;0.17619055621684154;0.001395;0.10637;0.00303;-0.0016238036498025168;-6.19692721075931
50;7;Normal;0.00058;0.07760794675804791;0.00057;0.04238;0.00295;-0.0001321972619649863;-7.228362417417658
51;0;Normal;0.0005;0.261025264294474;0.001445;0.14907;0.01226;-1.0478643119013341e-05;-7.623003384710372
52;4;Normal;0.010839999999999999;0.07176070791178135;0.001795;0.04654;0.01466;-0.0026586861150393877;-3.8107868910779734
53;10;Normal;0.00328;0.028262096525204918;0.0008049999999999999;0.00086;0.00025;-0.0019566394021661338;-5.512447693666497
54;4;Unbalance;0.0008550000000000001;0.2695493375988893;0.0027349999999999996;0.18182;0.02272;9.27226336631076e-05;-7.0069457286627665
55;7;Normal;0.00051;0.1005955227631926;0.000795;0.05675;0.01315;9.613602696288463e-05;-7.425063719282745
56;4;Normal;0.000585;0.12072815413150322;0.00111;0.07654;0.00479;-0.0006508310784029989;-6.969590589920885
57;8;Faulty sensor;0.00682;0.009822983253574242;0.00019;0.00451;0.00047;-0.00326283900416117;-4.168269440945091
58;1;Normal;0.00256;0.14810311981859128;0.00126;0.09341;0.01418;-0.0015652223504983177;-5.503346803314011
59;7;Normal;0.0009500000000000001;0.05749380488365682;0.00063;0.03376;0.00246;0.00022158010160498455;-6.547710450712549
60;1;Normal;0.00044;0.08747628878730511;0.002195;0.04985;0.0094;-0.00016227499162387585;-7.213526094541774
61;5;Normal;0.000575;0.2349032292242914;0.001075;0.15093;0.00662;-0.0004265507793261911;-7.291977999066508
62;10;Rubbing;0.008154999999999999;0.11555192079753586;0.000925;0.00073;0.00024;-0.0022609492423054235;-4.108903496017181
63;5;Unbalance;0.00066;0.27767297653894946;0.00135;0.18428;0.00538;-0.000976557048736065;-7.027204043103028
64;10;Normal;0.00154;0.13687515223735827;0.001505;0.00165;0.00053;-0.0004406498366137737;-6.439095386625362
65;3;Rubbing;0.02835;0.09775229613671486;0.004654999999999999;0.04541;0.00095;-0.0009574084825368087;-3.4210643514525225
66;0;Normal;0.00024;0.21320019840516097;0.0027;0.12307;0.0066;-0.0003221247781665999;-7.790326788069225
67;6;Normal;0.00129;0.1189585658958614;0.0014;0.06722;0.00749;-3.2146214876787763e-05;-6.516087979771773
68;3;Normal;0.00119;0.2460164185577865;0.001435;0.14362;0.00222;-0.0005146644048286815;-6.51368211315332
69;4;Normal;0.00892;0.23636941659191021;0.004615;0.15049;0.01371;-0.0018897338368915125;-4.158348670403037
70;9;Normal;0.002575;0.25813341066200635;0.0024349999999999997;0.16534;0.02086;-0.00027154828954684205;-5.9248974061738195
71;0;Normal;0.00035;0.08085121953316474;0.00071;0.05223;0.00633;-0.0009710001770447337;-7.344080122561036
72;4;Normal;0.000895;0.21958157413590057;0.00245;0.14442;0.01779;-3.6542261361749046e-05;-6.863445987909892
73;5;Unbalance;0.000495;0.27013000425720946;0.001405;0.16311;0.00255;-0.0009903278786078946;-7.05553808299691
74;1;Normal;0.00076;0.09503289062214199;0.00107;0.05939;0.00417;-0.0003177623999646064;-6.804086021588264
75;10;Normal;0.00241;0.15920649421427505;0.00118;0.00103;0.00037;-0.0002143590339622029;-5.834450706047636
76;2;Normal;0.000895;0.13897185326532852;0.001085;0.08748;0.00169;-0.0008137638190298422;-6.590421360303
77;5;Normal;0.00065;0.16623370747234148;0.00125;0.1119;0.00224;-0.0006679666135560606;-6.852540467600947
78;10;Normal;0.00138;0.06977269523244749;0.000665;0.00077;0.00034;-0.000632854244096718;-5.800188854261931
79;1;Normal;0.00369;0.028467275949763792;0.00076;0.0145;0.00058;-0.0018281289793729723;-5.5047591438042165
80;4;Normal;0.00084;0.13581167917377354;0.001645;0.08876;0.02753;-0.0007484813651709545;-6.646790553337662
81;7;Normal;0.001145;0.16107627603095373;0.0011;0.10602;0.00364;-0.0002733760845657968;-6.221877769487324
82;9;Unbalance;0.00425;0.26942619230505416;0.0018700000000000001;0.15917;0.0134;-0.0008463388826381213;-5.3297306813210135
83;2;Normal;0.00095;0.13955319236764166;0.00103;0.08668;0.00839;-0.0008731038192801747;-6.662255160107307
